z,T,t,fs,x,rhob,p
5.355030303,1230.9260383746,1229.2119198332,1.0000000153,1,1565.457133134,7356.1693680062
5.3722626263,1231.2884829284,1229.4516356551,1.0000000153,1,1565.457133134,7361.1901859873
5.3894949495,1231.6788472952,1229.7077495475,1.0000000153,1,1565.457133134,7366.2354596595
5.4067272727,1232.0996425427,1229.9817468144,1.0000000153,1,1565.457133134,7371.3055471505
5.423959596,1232.5535902086,1230.2752374703,1.0000000153,1,1565.457133134,7376.4008276617
5.4411919192,1233.0436385829,1230.5899659368,1.0000000153,1,1565.457133134,7381.5217032591
5.4584242424,1233.5729801023,1230.9278214112,1.0000000153,1,1565.457133134,7386.6686008154
5.4756565657,1234.1450699159,1231.2908489433,1.0000000153,1,1565.457133134,7391.8419741148
5.4928888889,1234.763645679,1231.6812612592,1.0000000153,1,1565.457133134,7397.0423061343
5.5101212121,1235.4327486362,1232.1014513695,1.0000000153,1,1565.457133134,7402.2701115135
5.5273535354,1236.1567460512,1232.5540060009,1.0000000153,1,1565.457133134,7407.5259392291
5.5445858586,1236.9403550405,1233.0417198899,1.0000000153,1,1565.457133134,7412.8103754887
5.5618181818,1237.788667867,1233.5676109767,1.0000000153,1,1565.457133134,7418.1240468611
5.5790505051,1238.7071787469,1234.1349365363,1.0000000153,1,1565.457133134,7423.4676236599
5.5962828283,1239.7018122171,1234.7472102838,1.0000000153,1,1565.457133134,7428.8418235999
5.6135151515,1240.7789531091,1235.4082204872,1.0000000153,1,1565.457133134,7434.2474157468
5.6307474747,1241.9454781654,1236.1220491198,1.0000000153,1,1565.457133134,7439.6852247797
5.647979798,1243.2087893284,1236.8930920795,1.0000000153,1,1565.457133134,7445.1561355909
5.6652121212,1244.5768487212,1237.7260805004,1.0000000153,1,1565.457133134,7450.6610982449
5.6824444444,1246.0582153284,1238.6261031738,1.0000000153,1,1565.457133134,7456.2011333236
5.6996767677,1247.662083369,1239.5986300906,1.0000000153,1,1565.457133134,7461.7773376825
5.7169090909,1249.3983223394,1240.6495371103,1.0000000153,1,1565.457133134,7467.3908906469
5.7341414141,1251.2775186827,1241.7851317502,1.0000000153,1,1565.457133134,7473.0430606763
5.7513737374,1253.3110190179,1243.0121800794,1.0000000153,1,1565.457133134,7478.7352125295
5.7686060606,1255.5109748378,1244.3379346879,1.0000000153,1,1565.457133134,7484.4688149596
5.7858383838,1257.8903885522,1245.7701636877,1.0000000153,1,1565.457133134,7490.2454489749
5.8030707071,1260.4631607207,1247.3171806849,1.0000000153,1,1565.457133134,7496.0668166986
5.8203030303,1263.2441382813,1248.987875643,1.0000000153,1,1565.457133134,7501.9347508634
5.8375353535,1266.249163536,1250.791746535,1.0000000153,1,1565.457133134,7507.8512249781
5.8547676768,1269.4951236095,1252.7389316595,1.0000000153,1,1565.457133134,7513.8183642036
5.872,1273.0,1254.8402424685,1.0000000153,1,1565.457133134,7519.838456974
