z,T,t,fs,x,rhob,p
5.0448484848,1226.1983432288,1226.1506751848,1,1,1564.5464766485,7264.8212230518
5.0620808081,1226.2671080769,1226.2194362847,1,1,1564.5464766485,7269.4401639618
5.0793131313,1226.3356383942,1226.2879622564,1,1,1564.5464766485,7274.0788468318
5.0965454545,1226.4039353688,1226.3562542888,1,1,1564.5464766485,7278.7373964514
5.1137777778,1226.4720001779,1226.4243135602,1,1,1564.5464766485,7283.4159387171
5.131010101,1226.5398339883,1226.4921412385,1,1,1564.5464766485,7288.1146006446
5.1482424242,1226.6074379563,1226.559738481,1,1,1564.5464766485,7292.8335103817
5.1654747475,1226.6748132277,1226.6271064346,1,1,1564.5464766485,7297.5727972204
5.1827070707,1226.7419609379,1226.6942462357,1,1,1564.5464766485,7302.3325916107
5.1999393939,1226.8088822122,1226.7611590105,1,1,1564.5464766485,7307.113025173
5.2171717172,1226.8755781654,1226.827845875,1,1,1564.5464766485,7311.9142307114
5.2344040404,1226.942049902,1226.8943079347,1,1,1564.5464766485,7316.7363422279
5.2516363636,1227.0082985167,1226.9605462852,1,1,1564.5464766485,7321.5794949349
5.2688686869,1227.0743250936,1227.0265620118,1,1,1564.5464766485,7326.4438252702
5.2861010101,1227.1401307072,1227.0923561899,1,1,1564.5464766485,7331.3294709102
5.3033333333,1227.2057164216,1227.1579298847,1,1,1564.5464766485,7336.2365707844
5.3205656566,1227.2710832912,1227.2232841515,1,1,1564.5464766485,7341.1652650899
5.3377979798,1227.3362323604,1227.2884200358,1,1,1564.5464766485,7346.115695306
5.355030303,1227.4011646638,1227.3533385732,1,1,1564.5464766485,7351.0880042089
5.3722626263,1227.4658812263,1227.4180407894,1,1,1564.5464766485,7356.0823358869
5.3894949495,1227.5303830629,1227.4825277006,1,1,1564.5464766485,7361.0988357555
5.4067272727,1227.5946711797,1227.5468003134,1,1,1564.5464766485,7366.1376505731
5.423959596,1227.6587465737,1227.6108596253,1,1,1564.5464766485,7371.1989284565
5.4411919192,1227.7226102349,1227.6747066257,1,1,1564.5464766485,7376.2828188969
5.4584242424,1227.7862631492,1227.7383422976,1,1,1564.5464766485,7381.3894727764
5.4756565657,1227.8497063068,1227.8017676228,1,1,1564.5464766485,7386.5190423843
5.4928888889,1227.9129407223,1227.8649835936,1,1,1564.5464766485,7391.6716814345
5.5101212121,1227.9759674832,1227.927991242,1,1,1564.5464766485,7396.8475450841
5.5273535354,1228.0387878663,1227.9907917087,1,1,1564.5464766485,7402.046789953
5.5445858586,1228.1014036188,1228.05338641,1,1,1564.5464766485,7407.2695741493
5.5618181818,1228.1638176305,1228.1157774385,1,1,1564.5464766485,7412.5160573022
5.5790505051,1228.2260355371,1228.1779685165,1,1,1564.5464766485,7417.7864006153
5.5962828283,1228.2880695301,1228.2399672637,1,1,1564.5464766485,7423.0807669634
5.6135151515,1228.3499473762,1228.3017905669,1,1,1564.5464766485,7428.3993210831
5.6307474747,1228.4117336873,1228.3634772439,1,1,1564.5464766485,7433.7422299723
5.647979798,1228.4735799009,1228.4251178075,1,1,1564.5464766485,7439.1096637453
5.6652121212,1228.5358412938,1228.4869241589,1,1,1564.5464766485,7444.501797488
5.6824444444,1228.5993499474,1228.5493921868,1,1,1564.5464766485,7449.9188152964
5.6996767677,1228.6660492361,1228.6136797679,1,1,1564.5464766485,7455.3609190813
5.7169090909,1228.7404634022,1228.6824823785,1,1,1564.5464766485,7460.8283477497
5.7341414141,1228.8330891896,1228.7620541618,1,1,1564.5464766485,7466.3214189401
5.7513737374,1228.9681951367,1228.8668561107,1,1,1564.5464766485,7471.8406196795
5.7686060606,1229.2016894093,1229.0302065815,1,1,1564.5464766485,7477.3868029697
5.7858383838,1229.6618877444,1229.3285878811,1,1,1564.5464766485,7482.9616133559
5.8030707071,1230.6420856824,1229.9368634552,1,1,1564.5464766485,7488.5684068416
5.8203030303,1232.8094227936,1231.2529667854,1,1,1564.5464766485,7494.2142375605
5.8375353535,1237.6714929659,1234.1769558141,1,1,1564.5464766485,7499.9141493523
5.8547676768,1248.6006651737,1240.7259503842,1,1,1564.5464766485,7505.7004719304
5.872,1273.0,1255.3468642063,1,1,1564.5464766485,7511.6477688983
